# eta   f(eta)   f'(eta)
0 0.2 0
0.01 0.20002 0.00405918
0.02 0.200081 0.0081143
0.03 0.200183 0.0121654
0.04 0.200324 0.0162124
0.05 0.200507 0.0202553
0.06 0.20073 0.0242943
0.07 0.200993 0.0283291
0.08 0.201296 0.0323599
0.09 0.20164 0.0363867
0.1 0.202024 0.0404094
0.11 0.202448 0.044428
0.12 0.202912 0.0484426
0.13 0.203417 0.0524531
0.14 0.203961 0.0564595
0.15 0.204546 0.0604618
0.16 0.205171 0.0644601
0.17 0.205835 0.0684542
0.18 0.20654 0.0724442
0.19 0.207284 0.0764302
0.2 0.208068 0.0804119
0.21 0.208892 0.0843896
0.22 0.209756 0.0883631
0.23 0.21066 0.0923324
0.24 0.211603 0.0962976
0.25 0.212586 0.100259
0.26 0.213608 0.104215
0.27 0.21467 0.108168
0.28 0.215771 0.112116
0.29 0.216912 0.11606
0.3 0.218092 0.12
0.31 0.219312 0.123935
0.32 0.220571 0.127866
0.33 0.221869 0.131793
0.34 0.223207 0.135716
0.35 0.224584 0.139634
0.36 0.226 0.143548
0.37 0.227455 0.147457
0.38 0.228949 0.151362
0.39 0.230482 0.155262
0.4 0.232054 0.159158
0.41 0.233665 0.163049
0.42 0.235315 0.166936
0.43 0.237004 0.170818
0.44 0.238731 0.174696
0.45 0.240498 0.178569
0.46 0.242303 0.182437
0.47 0.244146 0.186301
0.48 0.246029 0.19016
0.49 0.24795 0.194014
0.5 0.249909 0.197863
0.51 0.251907 0.201708
0.52 0.253943 0.205548
0.53 0.256018 0.209383
0.54 0.258131 0.213213
0.55 0.260282 0.217038
0.56 0.262471 0.220858
0.57 0.264699 0.224673
0.58 0.266965 0.228483
0.59 0.269269 0.232288
0.6 0.271611 0.236088
0.61 0.27399 0.239883
0.62 0.276408 0.243672
0.63 0.278864 0.247456
0.64 0.281357 0.251235
0.65 0.283889 0.255009
0.66 0.286458 0.258777
0.67 0.289064 0.26254
0.68 0.291708 0.266298
0.69 0.29439 0.27005
