# eta   f(eta)   f'(eta)
0 0.5 0
0.01 0.500026 0.0052217
0.02 0.500104 0.0104304
0.03 0.500235 0.015626
0.04 0.500417 0.0208087
0.05 0.500651 0.0259784
0.06 0.500936 0.0311352
0.07 0.501273 0.0362791
0.08 0.501662 0.0414101
0.09 0.502102 0.0465283
0.1 0.502592 0.0516336
0.11 0.503134 0.0567261
0.12 0.503727 0.0618059
0.13 0.50437 0.0668728
0.14 0.505064 0.071927
0.15 0.505809 0.0769684
0.16 0.506604 0.0819971
0.17 0.507449 0.0870131
0.18 0.508344 0.0920164
0.19 0.509289 0.097007
0.2 0.510284 0.101985
0.21 0.511329 0.10695
0.22 0.512423 0.111903
0.23 0.513567 0.116842
0.24 0.51476 0.12177
0.25 0.516002 0.126684
0.26 0.517293 0.131586
0.27 0.518634 0.136475
0.28 0.520023 0.141352
0.29 0.521461 0.146215
0.3 0.522947 0.151067
0.31 0.524482 0.155905
0.32 0.526065 0.160731
0.33 0.527697 0.165544
0.34 0.529376 0.170345
0.35 0.531103 0.175133
0.36 0.532879 0.179908
0.37 0.534702 0.18467
0.38 0.536572 0.18942
0.39 0.53849 0.194157
0.4 0.540455 0.198881
0.41 0.542467 0.203592
0.42 0.544527 0.208291
0.43 0.546633 0.212977
0.44 0.548786 0.21765
0.45 0.550986 0.222311
0.46 0.553233 0.226958
0.47 0.555525 0.231593
0.48 0.557864 0.236215
0.49 0.56025 0.240823
0.5 0.562681 0.24542
0.51 0.565158 0.250003
0.52 0.567681 0.254573
0.53 0.570249 0.25913
0.54 0.572863 0.263674
0.55 0.575523 0.268206
0.56 0.578227 0.272724
0.57 0.580977 0.277229
0.58 0.583772 0.281721
0.59 0.586612 0.2862
0.6 0.589496 0.290666
0.61 0.592425 0.295119
0.62 0.595398 0.299559
0.63 0.598416 0.303985
0.64 0.601478 0.308398
0.65 0.604584 0.312798
0.66 0.607734 0.317185
0.67 0.610928 0.321558
0.68 0.614165 0.325918
0.69 0.617446 0.330265
0.7 0.62077 0.334598
0.71 0.624138 0.338918
0.72 0.627549 0.343225
0.73 0.631002 0.347517
0.74 0.634499 0.351797
0.75 0.638038 0.356063
0.76 0.64162 0.360315
0.77 0.645244 0.364553
0.78 0.648911 0.368778
0.79 0.65262 0.37299
0.8 0.656371 0.377187
0.81 0.660164 0.381371
0.82 0.663998 0.385541
0.83 0.667874 0.389697
0.84 0.671792 0.393839
0.85 0.675751 0.397968
0.86 0.679751 0.402082
0.87 0.683793 0.406183
0.88 0.687875 0.410269
0.89 0.691998 0.414342
0.9 0.696162 0.4184
0.91 0.700366 0.422445
0.92 0.704611 0.426475
0.93 0.708896 0.430491
0.94 0.71322 0.434493
0.95 0.717585 0.43848
0.96 0.72199 0.442454
0.97 0.726434 0.446413
0.98 0.730918 0.450357
0.99 0.735441 0.454288
1 0.740004 0.458203
1.01 0.744605 0.462105
1.02 0.749246 0.465992
1.03 0.753925 0.469864
1.04 0.758643 0.473722
1.05 0.7634 0.477565
1.06 0.768194 0.481393
1.07 0.773027 0.485207
1.08 0.777899 0.489006
1.09 0.782808 0.492791
1.1 0.787754 0.49656
1.11 0.792739 0.500315
1.12 0.797761 0.504055
1.13 0.80282 0.50778
1.14 0.807916 0.51149
1.15 0.813049 0.515185
1.16 0.81822 0.518865
1.17 0.823427 0.52253
1.18 0.82867 0.52618
1.19 0.83395 0.529815
1.2 0.839267 0.533435
1.21 0.844619 0.53704
1.22 0.850007 0.540629
1.23 0.855431 0.544204
1.24 0.860891 0.547763
1.25 0.866387 0.551306
1.26 0.871917 0.554835
1.27 0.877483 0.558348
1.28 0.883084 0.561846
1.29 0.88872 0.565328
1.3 0.894391 0.568795
1.31 0.900096 0.572246
1.32 0.905836 0.575682
1.33 0.91161 0.579102
1.34 0.917418 0.582507
1.35 0.92326 0.585896
1.36 0.929136 0.58927
1.37 0.935045 0.592628
1.38 0.940988 0.59597
1.39 0.946964 0.599297
1.4 0.952974 0.602608
1.41 0.959016 0.605903
1.42 0.965092 0.609182
1.43 0.9712 0.612446
1.44 0.977341 0.615694
1.45 0.983514 0.618926
1.46 0.989719 0.622142
1.47 0.995957 0.625342
1.48 1.00223 0.628526
1.49 1.00853 0.631695
1.5 1.01486 0.634847
1.51 1.02122 0.637984
1.52 1.02762 0.641104
1.53 1.03405 0.644209
1.54 1.0405 0.647297
1.55 1.04699 0.65037
1.56 1.05351 0.653426
1.57 1.06006 0.656467
1.58 1.06664 0.659491
1.59 1.07325 0.662499
1.6 1.07989 0.665492
1.61 1.08656 0.668468
1.62 1.09326 0.671428
1.63 1.09999 0.674371
1.64 1.10675 0.677299
1.65 1.11353 0.680211
1.66 1.12035 0.683106
1.67 1.1272 0.685985
1.68 1.13407 0.688848
1.69 1.14097 0.691695
1.7 1.1479 0.694525
1.71 1.15486 0.69734
1.72 1.16185 0.700138
1.73 1.16887 0.70292
1.74 1.17591 0.705686
1.75 1.18298 0.708435
1.76 1.19008 0.711169
1.77 1.1972 0.713886
1.78 1.20436 0.716587
1.79 1.21154 0.719271
1.8 1.21874 0.72194
1.81 1.22597 0.724592
1.82 1.23323 0.727228
1.83 1.24052 0.729848
1.84 1.24783 0.732452
1.85 1.25517 0.735039
1.86 1.26253 0.73761
1.87 1.26992 0.740165
1.88 1.27733 0.742704
1.89 1.28477 0.745227
1.9 1.29224 0.747734
1.91 1.29973 0.750224
1.92 1.30724 0.752698
1.93 1.31478 0.755157
1.94 1.32235 0.757599
1.95 1.32993 0.760025
1.96 1.33755 0.762435
1.97 1.34518 0.764829
1.98 1.35284 0.767206
1.99 1.36053 0.769568
2 1.36823 0.771914
2.01 1.37596 0.774244
2.02 1.38372 0.776557
2.03 1.3915 0.778855
2.04 1.3993 0.781137
2.05 1.40712 0.783403
2.06 1.41496 0.785653
2.07 1.42283 0.787888
2.08 1.43072 0.790106
2.09 1.43863 0.792309
2.1 1.44657 0.794496
2.11 1.45452 0.796667
2.12 1.4625 0.798822
2.13 1.4705 0.800962
2.14 1.47852 0.803086
2.15 1.48656 0.805194
2.16 1.49462 0.807287
2.17 1.50271 0.809364
2.18 1.51081 0.811425
2.19 1.51894 0.813471
2.2 1.52708 0.815502
2.21 1.53525 0.817517
2.22 1.54343 0.819517
2.23 1.55164 0.821501
2.24 1.55986 0.82347
2.25 1.56811 0.825424
2.26 1.57637 0.827362
2.27 1.58465 0.829285
2.28 1.59296 0.831194
2.29 1.60128 0.833086
2.3 1.60962 0.834964
2.31 1.61798 0.836827
2.32 1.62635 0.838675
2.33 1.63475 0.840508
2.34 1.64316 0.842326
2.35 1.6516 0.844129
2.36 1.66005 0.845917
2.37 1.66851 0.84769
2.38 1.677 0.849449
2.39 1.6855 0.851193
2.4 1.69402 0.852922
2.41 1.70256 0.854637
2.42 1.71112 0.856337
2.43 1.71969 0.858023
2.44 1.72828 0.859694
2.45 1.73688 0.861351
2.46 1.7455 0.862994
2.47 1.75414 0.864622
2.48 1.7628 0.866236
2.49 1.77147 0.867836
2.5 1.78015 0.869422
2.51 1.78885 0.870994
2.52 1.79757 0.872551
2.53 1.80631 0.874095
2.54 1.81505 0.875625
2.55 1.82382 0.877141
2.56 1.8326 0.878644
2.57 1.84139 0.880133
2.58 1.8502 0.881608
2.59 1.85902 0.883069
2.6 1.86786 0.884517
2.61 1.87671 0.885951
2.62 1.88558 0.887373
2.63 1.89446 0.88878
2.64 1.90336 0.890175
2.65 1.91226 0.891556
2.66 1.92119 0.892924
2.67 1.93012 0.894279
2.68 1.93907 0.895621
2.69 1.94804 0.89695
2.7 1.95701 0.898266
2.71 1.966 0.89957
2.72 1.975 0.90086
2.73 1.98402 0.902138
2.74 1.99305 0.903404
2.75 2.00209 0.904657
2.76 2.01114 0.905897
2.77 2.0202 0.907125
2.78 2.02928 0.90834
2.79 2.03837 0.909544
2.8 2.04747 0.910735
2.81 2.05658 0.911914
2.82 2.06571 0.91308
2.83 2.07485 0.914235
2.84 2.08399 0.915378
2.85 2.09315 0.91651
2.86 2.10232 0.917629
2.87 2.11151 0.918737
2.88 2.1207 0.919833
2.89 2.1299 0.920917
2.9 2.13912 0.92199
2.91 2.14834 0.923052
2.92 2.15758 0.924102
2.93 2.16682 0.925141
2.94 2.17608 0.926168
2.95 2.18535 0.927185
2.96 2.19463 0.928191
2.97 2.20391 0.929185
2.98 2.21321 0.930169
2.99 2.22252 0.931142
3 2.23183 0.932104
3.01 2.24116 0.933055
3.02 2.25049 0.933996
3.03 2.25984 0.934927
3.04 2.26919 0.935847
3.05 2.27855 0.936756
3.06 2.28793 0.937655
3.07 2.29731 0.938544
3.08 2.3067 0.939423
3.09 2.3161 0.940292
3.1 2.3255 0.94115
3.11 2.33492 0.941999
3.12 2.34434 0.942838
3.13 2.35378 0.943667
3.14 2.36322 0.944487
3.15 2.37267 0.945297
3.16 2.38212 0.946097
3.17 2.39159 0.946888
3.18 2.40106 0.947669
3.19 2.41054 0.948441
3.2 2.42003 0.949204
3.21 2.42952 0.949958
3.22 2.43903 0.950702
3.23 2.44854 0.951438
3.24 2.45806 0.952165
3.25 2.46758 0.952882
3.26 2.47711 0.953591
3.27 2.48665 0.954291
3.28 2.4962 0.954983
3.29 2.50575 0.955666
3.3 2.51531 0.95634
3.31 2.52488 0.957006
3.32 2.53445 0.957664
3.33 2.54403 0.958313
3.34 2.55362 0.958955
3.35 2.56321 0.959588
3.36 2.57281 0.960213
3.37 2.58242 0.96083
3.38 2.59203 0.961439
3.39 2.60165 0.96204
3.4 2.61127 0.962634
3.41 2.6209 0.963219
3.42 2.63053 0.963797
3.43 2.64017 0.964368
3.44 2.64982 0.964931
3.45 2.65947 0.965487
3.46 2.66913 0.966035
3.47 2.67879 0.966576
3.48 2.68846 0.96711
3.49 2.69814 0.967637
3.5 2.70781 0.968157
3.51 2.7175 0.968669
3.52 2.72719 0.969175
3.53 2.73688 0.969674
3.54 2.74658 0.970166
3.55 2.75629 0.970652
3.56 2.76599 0.971131
3.57 2.77571 0.971603
3.58 2.78543 0.972069
3.59 2.79515 0.972528
3.6 2.80488 0.972981
3.61 2.81461 0.973427
3.62 2.82435 0.973868
3.63 2.83409 0.974302
3.64 2.84383 0.97473
3.65 2.85358 0.975152
3.66 2.86333 0.975568
3.67 2.87309 0.975978
3.68 2.88285 0.976382
3.69 2.89262 0.976781
3.7 2.90239 0.977174
3.71 2.91216 0.977561
3.72 2.92194 0.977942
3.73 2.93172 0.978318
3.74 2.94151 0.978689
3.75 2.9513 0.979054
3.76 2.96109 0.979414
3.77 2.97088 0.979768
3.78 2.98068 0.980118
3.79 2.99049 0.980462
3.8 3.00029 0.980801
3.81 3.0101 0.981135
3.82 3.01992 0.981463
3.83 3.02973 0.981787
3.84 3.03955 0.982107
3.85 3.04937 0.982421
3.86 3.0592 0.982731
3.87 3.06903 0.983035
3.88 3.07886 0.983336
3.89 3.08869 0.983631
3.9 3.09853 0.983922
3.91 3.10837 0.984209
3.92 3.11822 0.984491
3.93 3.12806 0.984769
3.94 3.13791 0.985043
3.95 3.14776 0.985312
3.96 3.15762 0.985577
3.97 3.16748 0.985838
3.98 3.17734 0.986095
3.99 3.1872 0.986348
4 3.19706 0.986596
4.01 3.20693 0.986841
4.02 3.2168 0.987082
4.03 3.22667 0.987319
4.04 3.23655 0.987552
4.05 3.24642 0.987782
4.06 3.2563 0.988008
4.07 3.26618 0.98823
4.08 3.27607 0.988449
4.09 3.28595 0.988664
4.1 3.29584 0.988875
4.11 3.30573 0.989083
4.12 3.31562 0.989288
4.13 3.32551 0.989489
4.14 3.33541 0.989687
4.15 3.34531 0.989882
4.16 3.35521 0.990074
4.17 3.36511 0.990262
4.18 3.37501 0.990447
4.19 3.38492 0.990629
4.2 3.39483 0.990808
4.21 3.40473 0.990984
4.22 3.41465 0.991157
4.23 3.42456 0.991327
4.24 3.43447 0.991495
4.25 3.44439 0.991659
4.26 3.4543 0.991821
4.27 3.46422 0.991979
4.28 3.47414 0.992135
4.29 3.48407 0.992289
4.3 3.49399 0.992439
4.31 3.50392 0.992588
4.32 3.51384 0.992733
4.33 3.52377 0.992876
4.34 3.5337 0.993017
4.35 3.54363 0.993155
4.36 3.55356 0.99329
4.37 3.5635 0.993424
4.38 3.57343 0.993555
4.39 3.58337 0.993683
4.4 3.5933 0.993809
4.41 3.60324 0.993933
4.42 3.61318 0.994055
4.43 3.62312 0.994175
4.44 3.63307 0.994292
4.45 3.64301 0.994408
4.46 3.65296 0.994521
4.47 3.6629 0.994632
4.48 3.67285 0.994742
4.49 3.6828 0.994849
4.5 3.69274 0.994954
4.51 3.70269 0.995057
4.52 3.71265 0.995159
4.53 3.7226 0.995258
4.54 3.73255 0.995356
4.55 3.7425 0.995452
4.56 3.75246 0.995546
4.57 3.76242 0.995639
4.58 3.77237 0.995729
4.59 3.78233 0.995819
4.6 3.79229 0.995906
4.61 3.80225 0.995992
4.62 3.81221 0.996076
4.63 3.82217 0.996158
4.64 3.83213 0.996239
4.65 3.84209 0.996318
4.66 3.85206 0.996396
4.67 3.86202 0.996473
4.68 3.87199 0.996548
4.69 3.88195 0.996621
4.7 3.89192 0.996693
4.71 3.90189 0.996764
4.72 3.91186 0.996833
4.73 3.92182 0.996901
4.74 3.93179 0.996968
4.75 3.94176 0.997033
4.76 3.95173 0.997097
4.77 3.96171 0.99716
4.78 3.97168 0.997222
4.79 3.98165 0.997282
4.8 3.99162 0.997342
4.81 4.0016 0.9974
4.82 4.01157 0.997456
4.83 4.02155 0.997512
4.84 4.03152 0.997567
4.85 4.0415 0.99762
4.86 4.05147 0.997673
4.87 4.06145 0.997724
4.88 4.07143 0.997775
4.89 4.08141 0.997824
4.9 4.09138 0.997873
4.91 4.10136 0.99792
4.92 4.11134 0.997966
4.93 4.12132 0.998012
4.94 4.1313 0.998056
4.95 4.14128 0.9981
4.96 4.15127 0.998143
4.97 4.16125 0.998185
4.98 4.17123 0.998226
4.99 4.18121 0.998266
5 4.19119 0.998305
5.01 4.20118 0.998344
5.02 4.21116 0.998382
5.03 4.22115 0.998419
5.04 4.23113 0.998455
5.05 4.24111 0.99849
5.06 4.2511 0.998525
5.07 4.26108 0.998559
5.08 4.27107 0.998592
5.09 4.28106 0.998625
5.1 4.29104 0.998656
5.11 4.30103 0.998688
5.12 4.31102 0.998718
5.13 4.321 0.998748
5.14 4.33099 0.998777
5.15 4.34098 0.998806
5.16 4.35097 0.998834
5.17 4.36096 0.998861
5.18 4.37095 0.998888
5.19 4.38093 0.998914
5.2 4.39092 0.99894
5.21 4.40091 0.998965
5.22 4.4109 0.998989
5.23 4.42089 0.999013
5.24 4.43088 0.999037
5.25 4.44087 0.99906
5.26 4.45086 0.999082
5.27 4.46086 0.999104
5.28 4.47085 0.999126
5.29 4.48084 0.999147
5.3 4.49083 0.999167
5.31 4.50082 0.999187
5.32 4.51081 0.999207
5.33 4.52081 0.999226
5.34 4.5308 0.999245
5.35 4.54079 0.999263
