# eta   f(eta)   f'(eta)
2.21 0.788023 0.683793
2.22 0.794873 0.686262
2.23 0.801748 0.688721
2.24 0.808648 0.69117
2.25 0.815572 0.693609
2.26 0.82252 0.696039
2.27 0.829492 0.698458
2.28 0.836489 0.700868
2.29 0.84351 0.703267
2.3 0.850554 0.705657
2.31 0.857623 0.708036
2.32 0.864715 0.710405
2.33 0.871831 0.712764
2.34 0.87897 0.715112
2.35 0.886133 0.71745
2.36 0.893319 0.719778
2.37 0.900529 0.722096
2.38 0.907761 0.724403
2.39 0.915017 0.7267
2.4 0.922295 0.728986
2.41 0.929596 0.731261
2.42 0.93692 0.733526
2.43 0.944267 0.735781
2.44 0.951636 0.738025
2.45 0.959027 0.740258
2.46 0.966441 0.742481
2.47 0.973877 0.744693
2.48 0.981335 0.746894
2.49 0.988815 0.749084
2.5 0.996317 0.751264
2.51 1.00384 0.753432
2.52 1.01139 0.75559
2.53 1.01895 0.757737
2.54 1.02654 0.759873
2.55 1.03415 0.761998
2.56 1.04178 0.764112
2.57 1.04943 0.766216
2.58 1.0571 0.768308
2.59 1.0648 0.770389
2.6 1.07251 0.772459
2.61 1.08025 0.774518
2.62 1.088 0.776566
2.63 1.09578 0.778603
2.64 1.10357 0.780628
2.65 1.11139 0.782643
2.66 1.11923 0.784646
2.67 1.12708 0.786638
2.68 1.13496 0.788619
2.69 1.14286 0.790589
2.7 1.15077 0.792548
2.71 1.15871 0.794495
2.72 1.16666 0.796431
2.73 1.17464 0.798356
2.74 1.18263 0.80027
2.75 1.19064 0.802172
2.76 1.19867 0.804063
2.77 1.20672 0.805942
2.78 1.21479 0.807811
2.79 1.22288 0.809668
2.8 1.23098 0.811514
2.81 1.23911 0.813348
2.82 1.24725 0.815171
2.83 1.25541 0.816983
2.84 1.26359 0.818783
2.85 1.27179 0.820572
2.86 1.28 0.82235
2.87 1.28823 0.824116
2.88 1.29648 0.825872
2.89 1.30475 0.827615
2.9 1.31304 0.829348
2.91 1.32134 0.831069
2.92 1.32966 0.832778
2.93 1.33799 0.834477
2.94 1.34635 0.836164
2.95 1.35472 0.837839
2.96 1.3631 0.839504
2.97 1.37151 0.841157
2.98 1.37993 0.842799
2.99 1.38836 0.844429
3 1.39682 0.846049
3.01 1.40528 0.847657
3.02 1.41377 0.849253
3.03 1.42227 0.850839
3.04 1.43079 0.852413
3.05 1.43932 0.853976
3.06 1.44786 0.855528
3.07 1.45643 0.857068
3.08 1.46501 0.858598
3.09 1.4736 0.860116
3.1 1.48221 0.861623
3.11 1.49083 0.863119
