# eta   f(eta)   f'(eta)
2.26 1.12513 0.755688
2.27 1.13269 0.757941
2.28 1.14027 0.760182
2.29 1.14787 0.762409
2.3 1.15549 0.764625
2.31 1.16314 0.766827
2.32 1.17081 0.769017
2.33 1.1785 0.771194
2.34 1.18621 0.773358
2.35 1.19394 0.775509
2.36 1.2017 0.777648
2.37 1.20948 0.779774
2.38 1.21727 0.781887
2.39 1.22509 0.783987
2.4 1.23293 0.786075
2.41 1.24079 0.78815
2.42 1.24867 0.790212
2.43 1.25658 0.792261
2.44 1.2645 0.794297
2.45 1.27244 0.796321
2.46 1.2804 0.798332
2.47 1.28839 0.80033
2.48 1.29639 0.802315
2.49 1.30441 0.804288
2.5 1.31246 0.806247
2.51 1.32052 0.808194
2.52 1.3286 0.810128
2.53 1.3367 0.81205
2.54 1.34482 0.813958
2.55 1.35296 0.815854
2.56 1.36112 0.817737
2.57 1.3693 0.819607
2.58 1.3775 0.821465
2.59 1.38571 0.82331
2.6 1.39394 0.825142
2.61 1.40219 0.826962
2.62 1.41046 0.828768
2.63 1.41875 0.830562
2.64 1.42706 0.832344
2.65 1.43538 0.834113
2.66 1.44372 0.835869
2.67 1.45208 0.837613
2.68 1.46046 0.839344
2.69 1.46885 0.841062
2.7 1.47726 0.842768
2.71 1.48569 0.844461
2.72 1.49413 0.846142
2.73 1.50259 0.847811
2.74 1.51107 0.849467
2.75 1.51957 0.85111
2.76 1.52808 0.852741
2.77 1.53661 0.85436
2.78 1.54515 0.855966
2.79 1.55371 0.85756
2.8 1.56228 0.859142
2.81 1.57088 0.860711
2.82 1.57948 0.862268
2.83 1.58811 0.863813
2.84 1.59674 0.865346
2.85 1.6054 0.866866
2.86 1.61407 0.868375
2.87 1.62275 0.869871
2.88 1.63145 0.871355
2.89 1.64016 0.872827
2.9 1.64889 0.874288
2.91 1.65763 0.875736
2.92 1.66639 0.877172
2.93 1.67516 0.878596
2.94 1.68395 0.880009
2.95 1.69275 0.881409
2.96 1.70156 0.882798
2.97 1.71039 0.884175
2.98 1.71923 0.885541
2.99 1.72809 0.886894
3 1.73696 0.888236
3.01 1.74584 0.889567
3.02 1.75473 0.890886
3.03 1.76364 0.892193
3.04 1.77257 0.893489
3.05 1.7815 0.894773
3.06 1.79045 0.896047
3.07 1.79941 0.897308
3.08 1.80838 0.898559
3.09 1.81737 0.899798
3.1 1.82636 0.901026
3.11 1.83538 0.902243
3.12 1.8444 0.903449
3.13 1.85343 0.904643
3.14 1.86248 0.905827
3.15 1.87154 0.907
3.16 1.88061 0.908161
3.17 1.88969 0.909312
3.18 1.89878 0.910452
3.19 1.90789 0.911582
3.2 1.917 0.9127
3.21 1.92613 0.913808
3.22 1.93527 0.914905
3.23 1.94442 0.915992
3.24 1.95358 0.917068
3.25 1.96275 0.918134
3.26 1.97193 0.919189
3.27 1.98112 0.920234
3.28 1.99032 0.921269
3.29 1.99953 0.922294
3.3 2.00876 0.923308
3.31 2.01799 0.924312
3.32 2.02723 0.925306
3.33 2.03649 0.92629
3.34 2.04575 0.927264
3.35 2.05502 0.928228
3.36 2.0643 0.929182
3.37 2.0736 0.930127
3.38 2.0829 0.931061
3.39 2.09221 0.931986
3.4 2.10153 0.932902
3.41 2.11086 0.933807
3.42 2.1202 0.934704
3.43 2.12954 0.93559
3.44 2.1389 0.936468
3.45 2.14826 0.937336
3.46 2.15764 0.938195
3.47 2.16702 0.939044
3.48 2.17641 0.939885
3.49 2.18581 0.940716
3.5 2.19521 0.941538
3.51 2.20463 0.942351
3.52 2.21405 0.943156
3.53 2.22349 0.943951
3.54 2.23292 0.944738
3.55 2.24237 0.945516
3.56 2.25183 0.946285
3.57 2.26129 0.947045
3.58 2.27076 0.947797
3.59 2.28024 0.948541
3.6 2.28972 0.949276
3.61 2.29922 0.950003
3.62 2.30872 0.950721
3.63 2.31822 0.951431
3.64 2.32774 0.952133
3.65 2.33726 0.952827
3.66 2.34679 0.953513
3.67 2.35632 0.95419
3.68 2.36587 0.95486
3.69 2.37541 0.955522
3.7 2.38497 0.956176
3.71 2.39453 0.956822
3.72 2.4041 0.957461
3.73 2.41367 0.958092
3.74 2.42325 0.958715
3.75 2.43284 0.959331
3.76 2.44243 0.959939
3.77 2.45203 0.96054
3.78 2.46164 0.961134
3.79 2.47125 0.96172
3.8 2.48087 0.962299
3.81 2.49049 0.962871
3.82 2.50012 0.963436
3.83 2.50975 0.963994
3.84 2.51939 0.964545
3.85 2.52904 0.965089
3.86 2.53869 0.965626
3.87 2.54835 0.966156
3.88 2.55801 0.966679
3.89 2.56768 0.967196
3.9 2.57735 0.967707
3.91 2.58702 0.96821
3.92 2.59671 0.968708
3.93 2.60639 0.969198
3.94 2.61609 0.969683
3.95 2.62578 0.970161
3.96 2.63548 0.970633
3.97 2.64519 0.971099
3.98 2.6549 0.971558
3.99 2.66462 0.972012
4 2.67434 0.972459
4.01 2.68406 0.9729
4.02 2.69379 0.973336
4.03 2.70352 0.973766
4.04 2.71326 0.97419
4.05 2.723 0.974608
4.06 2.73275 0.97502
4.07 2.7425 0.975427
4.08 2.75225 0.975829
4.09 2.76201 0.976225
4.1 2.77177 0.976615
4.11 2.78154 0.977
