# eta   f(eta)   f'(eta)
0 -0.2 0
0.01 -0.199987 0.00261774
0.02 -0.199948 0.00523809
0.03 -0.199882 0.00786107
0.04 -0.19979 0.0104867
0.05 -0.199672 0.0131149
0.06 -0.199528 0.0157457
0.07 -0.199357 0.0183792
0.08 -0.199161 0.0210153
0.09 -0.198937 0.023654
0.1 -0.198687 0.0262954
0.11 -0.198411 0.0289394
0.12 -0.198109 0.031586
0.13 -0.19778 0.0342352
0.14 -0.197424 0.036887
0.15 -0.197042 0.0395415
0.16 -0.196633 0.0421986
0.17 -0.196198 0.0448583
0.18 -0.195736 0.0475206
0.19 -0.195247 0.0501855
0.2 -0.194732 0.052853
0.21 -0.19419 0.0555231
0.22 -0.193622 0.0581958
0.23 -0.193026 0.0608711
0.24 -0.192404 0.063549
0.25 -0.191755 0.0662295
0.26 -0.19108 0.0689125
0.27 -0.190377 0.0715981
0.28 -0.189648 0.0742863
0.29 -0.188891 0.076977
0.3 -0.188108 0.0796702
0.31 -0.187298 0.082366
0.32 -0.186461 0.0850643
0.33 -0.185597 0.0877651
0.34 -0.184706 0.0904684
0.35 -0.183787 0.0931742
0.36 -0.182842 0.0958826
0.37 -0.18187 0.0985934
0.38 -0.18087 0.101307
0.39 -0.179844 0.104022
0.4 -0.17879 0.10674
0.41 -0.177709 0.109461
0.42 -0.1766 0.112184
0.43 -0.175465 0.114909
0.44 -0.174302 0.117637
0.45 -0.173112 0.120367
0.46 -0.171895 0.1231
0.47 -0.17065 0.125835
0.48 -0.169378 0.128572
0.49 -0.168079 0.131312
0.5 -0.166752 0.134054
0.51 -0.165398 0.136798
0.52 -0.164016 0.139544
0.53 -0.162607 0.142293
0.54 -0.16117 0.145044
0.55 -0.159706 0.147797
0.56 -0.158214 0.150552
0.57 -0.156695 0.15331
0.58 -0.155148 0.156069
0.59 -0.153574 0.158831
0.6 -0.151971 0.161595
0.61 -0.150342 0.164361
0.62 -0.148684 0.167129
0.63 -0.146999 0.169899
0.64 -0.145286 0.172671
0.65 -0.143546 0.175446
0.66 -0.141777 0.178222
0.67 -0.139981 0.181
0.68 -0.138157 0.18378
0.69 -0.136306 0.186562
0.7 -0.134426 0.189346
